"gene_id","gene_name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000102440","Pcdhga9",0.443929578267865,3.70926704802347,18.9815826573575,1.31986307743777e-05,0.204262009864269
"ENSMUSG00000073460","Pnldc1",0.890326065228233,0.020880537304457,15.2082556601836,9.62815813037252e-05,0.745026876128226
"ENSMUSG00000005198","Polr2a",0.197307206547202,6.78353531192412,12.5019037228396,0.000406537545577294,0.756174944103336
"ENSMUSG00000018822","Sfrp5",-0.727327527677317,0.96697088368728,12.764502347316,0.00035325956626069,0.756174944103336
"ENSMUSG00000022508","Bcl6",-0.337278959720003,3.90238652601567,12.3505586679139,0.000440854526481153,0.756174944103336
"ENSMUSG00000026193","Fn1",0.314659437366107,7.16177970823569,11.4840219159618,0.000701970587369463,0.756174944103336
"ENSMUSG00000029343","Crybb1",-0.696956507302632,1.05027640609976,13.0981545820963,0.000295586820168735,0.756174944103336
"ENSMUSG00000030782","Tgfb1i1",-0.269423990208564,4.74097647825956,11.6138020513114,0.00065464189770866,0.756174944103336
"ENSMUSG00000039194","Rlbp1",-0.306608138481153,5.43051059691342,11.362046891044,0.000749601671887982,0.756174944103336
"ENSMUSG00000046574","Prr12",0.182634629740593,7.36030544957646,11.6777177354948,0.000632530763224864,0.756174944103336
"ENSMUSG00000050035","Fhl4",-0.8050501713578,0.245158003893522,13.0362103954728,0.000305525697676206,0.756174944103336
"ENSMUSG00000059631","1500035N22Rik",-0.473320464693757,3.06028384562593,11.8681370064213,0.000571025048402793,0.756174944103336
"ENSMUSG00000094002","Gm9866",0.678161146765919,3.80603619555251,12.5341888665331,0.000399573030917525,0.756174944103336
"ENSMUSG00000103793","Pcdhga6",0.415217671461495,3.77895531902417,11.2840026978744,0.00078177817948135,0.756174944103336
"ENSMUSG00000106951","5930430L01Rik",-0.728916677853989,0.336298955923423,11.3188611514149,0.00076723754749013,0.756174944103336
"ENSMUSG00000107300","Gm43279",0.997782375291781,-0.120697318425112,11.2881230825919,0.000780045017016524,0.756174944103336
"ENSMUSG00000078671","Chd2",0.185936813876026,6.07442440329695,11.1678877219144,0.000832253272120534,0.75764421407867
"ENSMUSG00000016493","Cd46",0.472919243685752,2.28702927976114,10.1870717073166,0.00141428732491299,0.82056516808286
"ENSMUSG00000024411","Aqp4",0.29105098818634,6.1830138340146,10.0271453605293,0.00154249908929317,0.82056516808286
"ENSMUSG00000028763","Hspg2",0.266539097251883,5.53574382139411,9.98575408263165,0.00157755937694384,0.82056516808286
"ENSMUSG00000036098","Myrf",0.475265007602564,2.41880256266064,9.91017444269192,0.00164367538191837,0.82056516808286
"ENSMUSG00000036916","Zfp280c",0.249696924189111,4.50500253579154,10.1293685643193,0.00145925389021166,0.82056516808286
"ENSMUSG00000047907","Tshz2",0.375609734427799,3.4359508158741,9.93035068880902,0.00162575556894902,0.82056516808286
"ENSMUSG00000051278","Zgrf1",0.430683627478275,2.14508345612664,10.185440005124,0.00141553938834782,0.82056516808286
"ENSMUSG00000061462","Obscn",0.34250761313264,3.38190022934589,10.7100521673899,0.00106555024762733,0.82056516808286
"ENSMUSG00000062797","Hikeshi",-0.199369452457801,5.02245732543812,10.5000147922841,0.00119373588828396,0.82056516808286
"ENSMUSG00000067377","Tspan6",-0.185327044098907,6.30455792452844,10.3890002084613,0.00126768246819482,0.82056516808286
"ENSMUSG00000068762","Gstm6",1.51468071829679,0.754346660949154,10.6934831608898,0.00107513588421812,0.82056516808286
"ENSMUSG00000070047","Fat1",0.175311930969916,7.0912066269773,9.97915207483038,0.00158322575515601,0.82056516808286
"ENSMUSG00000074807","Gm10762",-0.346049920342757,2.82386770214365,10.2075334954322,0.00139868112410854,0.82056516808286
"ENSMUSG00000102742","Pcdhga11",0.395841905777419,3.77215082909733,10.6281890779823,0.00111376729094626,0.82056516808286
"ENSMUSG00000028573","Fggy",-0.507123808522564,1.89763860731257,9.73434375567074,0.00180856574011496,0.853007348392995
"ENSMUSG00000029389","Ddx55",0.257746794848915,4.58697750339049,9.64280741420879,0.00190094471402621,0.853007348392995
"ENSMUSG00000075702","Selenom",-0.246107605205396,5.80204308650499,9.65232809872596,0.00189111757478635,0.853007348392995
"ENSMUSG00000099696","2900052N01Rik",-0.624889459198877,0.971252707844564,9.61577279075291,0.00192913266953701,0.853007348392995
"ENSMUSG00000009630","Ppp2cb",-0.206355635399094,6.85787984380426,9.41620370189204,0.00215076330630196,0.8996003494143
"ENSMUSG00000024598","Fbn2",0.238383722963069,5.51914521573652,9.43669360267225,0.0021268658917344,0.8996003494143
"ENSMUSG00000002028","Kmt2a",0.220738209011254,7.2996363924301,9.17340037201508,0.00245557899703331,0.908229830639775
"ENSMUSG00000028364","Tnc",0.201768791800231,7.56486364850898,9.2748635953714,0.00232319988375232,0.908229830639775
"ENSMUSG00000087672","Gm15122",0.685972455942176,0.181729455055924,9.26901505328651,0.00233063001603264,0.908229830639775
"ENSMUSG00000090691","Gm3667",0.581816300655877,1.04990215929363,9.0814169111241,0.00258219905325343,0.908229830639775
"ENSMUSG00000103897","Pcdhga8",0.307114636822094,3.61602052044452,9.16005605354487,0.00247354992720032,0.908229830639775
"ENSMUSG00000104362","Gm37928",0.460347711135629,2.45386822844299,9.08579447369886,0.00257602552433767,0.908229830639775
